word	value
albiol	-0.005185826287318679
albor	0.0010300713948961666
alboran	0.20206879866858055
alborotado	0.1925210159585677
alcal	-0.407474126506579
alcala	-0.4510540879884011
alcaladehenares	0.050898966348873975
alcald	-0.1309317515364963
alcalde	0.03639090074516061
alcaldejos	-0.05943632538521532
alcaldeledezma	0.04175265717988038
alcaldes	0.09392909993356316
alcaldesa	-0.04234952630193738
alcaldia	-0.03579463741449041
alcalmariela	-0.0020488762530748387
alcances	-0.5726956847050451
alcanza	-0.17491356532331606
alcanzado	-0.002275341479957433
alcanzar	-0.00861612581927358
alcazar	0.7728909200438269
alcbds	-0.06927938846512605
alcista	0.16954645197909188
alcoh	0.47094991403671205
alcohol	-0.5442057032327609
alcoholemia	-0.4750763945111982
alcorc	-0.09958858202130927
alcorcon	0.32949251634047816
alcoy	-0.14814596448035552
aldea	-0.13238981925346208
aldo	-0.79968346656226
aldoraul	-0.03612247286781299
aleclaucornejo	0.0029173258822126737
aleda	0.01627966177906022
alefernandezroa	0.19462620966411145
aleg	0.06915789772836732
alegr	-0.0168052804643562
alegra	0.5103197100628574
alegrado	0.7965656371127239
alegramos	-0.0539385265778298
alegran	-0.2558417416479615
alegrando	0.096945249302841
alegrar	0.04602464456212271
alegrarme	0.5679271967668039
alegrarnos	0.07992543334986904
alegraron	-0.00768455089635625
alegrarse	0.2669625369742672
alegre	0.04889732305578321
alegremente	0.8887919917773353
alegrenavidad	0.003039795700330593
alegres	0.4261796087419724
alegria	0.3396369622649738
alegrias	0.9029453483430194
alegro	-0.4184137542433872
alegría	0.9302395313191236
alejabolivarian	0.1953862814779896
alejado	0.020354522781557596
alejados	-0.3168298954923029
alejand	0.026519940139841696
alejandrator	0.05354708448457733
alejandro	0.004958379436185007
alejandrobordn	0.4840385037209666
alejandromurat	0.10222471150736784
alejandrosanz	-0.3414207809083453
alejo	0.9998586173127356
alem	-0.01789556517811301
aleman	-0.03148946508744186
alemana	0.05476981343902724
alemanas	-0.20763646772460292
alemanes	-0.04018434442572109
alemania	-0.4131371456223737
alentador	0.4920307602362757
alephpapalote	0.4247795249927768
alerta	-0.0019490457937109023
ales	-0.08519002148461162
alessandracicc	-0.14912458969519451
alev	0.19320554947617646
alevin	0.33091909826348603
alevines	0.016957512966661842
alex	-0.01301663578448686
alexa	0.5095427144233088
alexander	0.06937616835894217
alexandra	0.4521403954100169
alexathirel	0.2434339169196065
alexglez	0.03607615551904527
alexgonzpersemp	0.5127844192340234
alexis	-0.0371674338404224
alexisrm	-0.4788781396437406
alexman	0.03359573064966001
alexoficial	0.16722454709534504
alexubagoficial	0.0356591319522944
alfa	-0.11283648212395075
alfaro	0.14219581086503874
alfonsinnilda	-0.6303392371083689
alfonsorojopd	0.4419316865783748
alfredo	-0.036154021433053164
alfredodelmazo	-0.11230720308096218
alfredoritos	-0.0934461523042081
algeciras	-0.0045220143666870926
algo	-0.0014406245011905484
alguien	0.1459058939916125
algun	-0.2917053326083067
alguna	-0.010936131061758564
algunas	-0.001753098089412251
alguno	-0.2625373802655189
algunos	-0.2409540004425977
alhlwan	-0.2740045223147472
alhucema	0.3923585876326389
aliado	-0.01895394263869289
aliados	0.194265767450433
alianza	0.008627434083677511
aliar	0.14760122035443646
alicante	0.0038506814897846533
alice	-0.31689650285356313
aliceunidosteam	-0.005348706509146401
alicia	0.06732286378509326
aliciaacoroles	0.7227881725280301
aliciagarciaga	0.0031202289597662023
aliciente	0.0982840845922638
alienación	0.02975463460777981
aliento	-0.0036039996888813475
aliluzg	0.8598925191608118
alimentaci	-0.5061479686176228
alimentacion	0.09172359203520224
alimentar	0.01603978957578839
alimentaria	0.0328792432940031
alimenticios	0.0016186170492143476
alimento	-0.1209384812810644
alimentos	0.3224261968513044
alimey	-0.2328305366952499
alirón	-0.06798253574364929
aliviar	-0.0816297098484068
alivio	-0.009913442134560342
alla	-0.10225310992248623
allegados	0.03222092741886715
allen	-0.20947310870034566
allende	-0.002107315679246892
alma	0.033898739972643456
almac	0.3214423087687715
almacenes	-0.009073410196039506
almaia	0.0049975233101737316
almanegracharge	0.5172877234260821
almas	0.03904329607931738
almasyletras	-0.1923335121841588
almejas	-0.009284957272523672
almendra	0.0355595735439044
almendras	-0.13318272473405154
almendro	0.40710604902575936
almer	-0.002114597658702684
almeria	0.39817194787274507
almita	-0.03357091552441814
almorzar	0.14125291895958925
almu	-0.21565338146995225
almuerzos	0.14888643974526267
alojamiento	0.6387529073955649
alondra	0.2193072505970881
alone	-0.0635239295881668
along	-0.4405481485767143
alonso	-0.034253351370378465
alos	0.34142446081415684
alosa	0.2041448500894008
alot	-0.12942115053028075
alquiler	0.1007962074660423
already	0.08908640797120103
alrededor	-0.02132683406317348
alrededores	-0.014923106494157441
alsa	-0.1957414746764044
alsina	-0.8035336814313673
alta	-0.1731458248057535
altamira	-0.04635738340452292
altamirana	-0.1588579603959414
altar	0.0010610353090214034
altas	-0.16111052683733365
alter	-0.007217295942826731
alterado	-0.06893592558972114
alternativas	0.011217887744657332
alternativo	0.525829769244814
alto	-0.10093364494260576
altruista	-0.029565945045691357
alts	0.12401154161481573
altsjesus	-0.11737110187103182
altura	0.2904993720850791
alturas	-0.2580317891192337
alucinación	-0.5755212350793675
alucinar	0.10291698495358603
alumbra	0.7075101092989716
alumbrado	-0.14856214167767098
alumbrados	-0.02733210097057926
alumbrasevilla	-0.03345060599684313
alumbre	-0.24579029309513145
alumn	0.16750104354265993
alumnado	0.031884526051234936
alumnas	0.507261077748708
alumno	0.18432172745437608
alumnos	0.1046022735408481
alvarado	0.7366807421736872
alvaradorosana	0.333518651269473
alvarez	-0.01016605146312384
alvaro	0.4220580443453953
alvaroalvaradoc	-0.17549241167647067
